Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/SeeuSim/ip.git,master,SeeuSim,,ONG .. SIM,,
https://github.com/zrei/ip.git,master,zrei,,LIM .. RUI,,
https://github.com/zichen-3974/ip.git,master,zichen-3974,,WANG..CHEN,ZichenWang,
https://github.com/SeanChinJunKai/ip.git,master,SeanChinJunKai,,SEAN.. KAI,,
https://github.com/yyj-02/ip.git,master,yyj-02,,YEOH.. JIE,,
https://github.com/potty10/ip.git,master,potty10,,CHRI..YANG,,
https://github.com/yanlings/ip.git,master,yanlings,,LIM ..LING,,
https://github.com/kalarisng/ip.git,master,kalarisng,,KALA..SHAN,,
https://github.com/germainelee02/ip.git,master,germainelee02,,GERM..MING,Germaine,
https://github.com/Yaladah/ip.git,master,Yaladah,,JERO..W EE,,
https://github.com/rockman007372/ip.git,master,rockman007372,,TRAN..GHIA,,
https://github.com/zhoyx/ip.git,master,zhoyx,,ZHOU..UXIN,,
https://github.com/yaojiax/ip.git,master,yaojiax,,YAO ..AXIN,,
https://github.com/unfazing/ip.git,master,unfazing,,LIAN.. HAI,liankokhai,
https://github.com/0x787af25e/ip.git,master,0x787af25e,,GONG.. JUN,,
https://github.com/bokung/ip.git,master,bokung,,GUO ..OKUN,,
https://github.com/Karen-Lam/ip.git,master,Karen-Lam,,LAM ..AREN,,
https://github.com/FireRadical22/ip.git,master,FireRadical22,,MUHA..HAIK,,
https://github.com/dawg420/ip.git,master,dawg420,,MA Y..CHEN,,
https://github.com/gmengqi/ip.git,master,gmengqi,,GAO ..NGQI,,
https://github.com/tangyuantyy/ip.git,master,tangyuantyy,,TANG..YUAN,,
https://github.com/jinnieshin/ip.git,master,jinnieshin,,SHIN.. JIN,Jin,
https://github.com/NBQian/ip.git,master,NBQian,,NIU ..QIAN,,
https://github.com/PROGRAMMERHAO/ip.git,master,PROGRAMMERHAO,,HAO ..ZEYU,HAO ZEYU,
https://github.com/HmuuMyatMoe/ip.git,master,HmuuMyatMoe,,HMUU.. MOE,Hmuu Myat Moe,
https://github.com/wendy0107/ip.git,master,wendy0107,,NG W..N LI,wendyng0107,
https://github.com/seanfirefox/ip.git,master,seanfirefox,,TAN ..SEAN,Sean Tan,
https://github.com/cjyothika/ip.git,master,cjyothika,,CHIN.. SAI,,
https://github.com/rachtan27/ip.git,master,rachtan27,,TAN ..CHEL,,
https://github.com/engenhui1999/ip.git,master,engenhui1999,,ENG .. HUI,,
https://github.com/OliviaJHL/ip.git,master,OliviaJHL,,JIAH..LIAO,,
https://github.com/huixuant/ip.git,master,huixuant,,TAN ..XUAN,Hui Xuan,
https://github.com/jnjy/ip.git,master,jnjy,,NG J..YUAN,,
https://github.com/rmj1405/ip.git,master,rmj1405,,RITI..OSHI,Ritika Joshi,
https://github.com/IsabelChong/ip.git,master,IsabelChong,,CHON..ABEL,Isabel Chong,
https://github.com/Bobfree546/ip.git,master,Bobfree546,,AMOS.. TAO,,
https://github.com/Alvozyn/ip.git,master,Alvozyn,,KRIS..A YI,KristenChungJiaYi,
https://github.com/ScorpiusSigma/ip.git,master,ScorpiusSigma,,LENG..STIN,,
https://github.com/tyx021/ip.git,master,tyx021,,TING.. XIN,,
https://github.com/hhchinh2002/ip.git,master,hhchinh2002,,HOAN..HINH,,
https://github.com/CedricPei/ip.git,master,CedricPei,,PEI ..ENQI,,
https://github.com/shenchenzizoe/ip.git,master,shenchenzizoe,,SHEN..ENZI,shenchenzi,
https://github.com/kenzantonius/ip.git,master,kenzantonius,,KENZ..NIUS,,
https://github.com/Daniel-Kur/ip.git,master,Daniel-Kur,,DANI..AWAN,,
https://github.com/VietAnh1010/ip.git,master,VietAnh1010,,NGUY.. ANH,,
https://github.com/Zhongli5712/ip.git,master,Zhongli5712,,TRUO..UONG,,
https://github.com/shirsho-12/ip.git,master,shirsho-12,,SHIR..UPTA,Shirshajit Sen Gupta,
https://github.com/fahim-tazz/ip.git,master,fahim-tazz,,TAJW..AHIM,Muhammad Fahim Tajwar,
https://github.com/Cyrus-Krispin/ip.git,master,Cyrus-Krispin,,CYRU..UMAR,,
